"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Guyane";"010606572";"12/03/2024 16:12";"";"";"124";"124";"125";"117";"152";"146";"145";"158";"184";"101";"91";"188";"173"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Tarn";"010606326";"12/03/2024 16:12";"";"";"317";"309";"296";"293";"304";"334";"298";"297";"310";"";"";"286";"283"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Côte-d'Or";"010606797";"12/03/2024 16:12";"";"";"1.4";"1.4";"1.4";"1.3";"1.3";"1.4";"1.3";"1.3";"1.3";"";"";"1.4";"1.3"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur";"010606609";"12/03/2024 16:12";"";"";"1.9";"1.9";"1.8";"1.8";"1.9";"1.8";"1.9";"1.8";"1.8";"";"";"1.9";"1.8"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Meuse";"010606840";"12/03/2024 16:12";"";"";"1.5";"1.5";"1.5";"1.5";"1.4";"1.5";"1.6";"1.6";"1.5";"";"";"1.6";"1.5"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Nouvelle-Aquitaine";"010606626";"12/03/2024 16:12";"";"";"1.8";"1.8";"1.8";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"";"";"1.7";"1.7"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Val-de-Marne";"010606951";"12/03/2024 16:12";"";"";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"";"";"1.8";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Creuse";"010607228";"12/03/2024 16:12";"";"";"8";"8";"10";"15";"13";"13";"12";"12";"9";"";"";"7";"6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Alpes-Maritimes";"010607210";"12/03/2024 16:12";"";"";"4703";"4878";"4877";"4740";"5041";"4623";"4998";"5070";"5083";"";"";"4161";"4785"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Haute-Saône";"010606927";"12/03/2024 16:12";"";"";"1.4";"1.4";"1.4";"1.4";"1.5";"1.5";"1.5";"1.4";"1.4";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Drôme";"010606903";"12/03/2024 16:12";"";"";"1.4";"1.4";"1.4";"1.4";"1.4";"1.3";"1.4";"1.4";"1.4";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Indre-et-Loire";"010606282";"12/03/2024 16:12";"";"";"1220";"1207";"1212";"1191";"1233";"1224";"1239";"1264";"1275";"";"";"1228";"1286"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Calvados";"010606966";"12/03/2024 16:12";"";"";"1.9";"1.9";"1.8";"1.9";"1.8";"1.8";"1.9";"1.9";"1.9";"";"";"1.9";"1.9"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Alpes-de-Haute-Provence";"010606779";"12/03/2024 16:12";"";"";"2.0";"2.0";"1.8";"1.8";"1.8";"1.9";"1.9";"1.9";"1.8";"";"";"1.7";"1.8"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Corse";"010606610";"12/03/2024 16:12";"";"";"2.1";"2.1";"2.1";"2.1";"2.1";"2.2";"2.1";"2.1";"2.1";"";"";"2.1";"2.1"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Pas-de-Calais";"010606307";"12/03/2024 16:12";"";"";"1456";"1503";"1587";"1641";"1641";"1635";"1637";"1652";"1621";"";"";"1582";"1621"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Cantal";"010606895";"12/03/2024 16:12";"";"";"1.8";"1.7";"1.6";"1.7";"1.6";"1.6";"1.6";"1.6";"1.6";"";"";"1.7";"1.8"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Vosges";"010606945";"12/03/2024 16:12";"";"";"1.8";"1.8";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"";"";"1.7";"1.7"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Aube";"010606890";"12/03/2024 16:12";"";"";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.5";"1.4";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Charente-Maritime";"010606261";"12/03/2024 16:12";"";"";"1206";"1167";"1197";"1220";"1263";"1277";"1322";"1346";"1367";"";"";"1288";"1289"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Saône-et-Loire";"010606316";"12/03/2024 16:12";"";"";"1053";"1040";"1021";"1041";"1063";"1093";"1091";"1089";"1094";"";"";"1039";"1064"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Lot-et-Garonne";"010606832";"12/03/2024 16:12";"";"";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Haute-Corse";"010606265";"12/03/2024 16:12";"";"";"616";"630";"628";"634";"623";"611";"643";"638";"639";"";"";"658";"647"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - France entière";"010607331";"12/03/2024 16:12";"";"";"2.2";"2.2";"2.1";"2.1";"2.1";"2.0";"2.1";"2.1";"2.1";"";"";"2.1";"2.1"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Finistère";"010606274";"12/03/2024 16:12";"";"";"1001";"1007";"1004";"980";"1041";"1078";"1118";"1111";"1144";"";"";"1095";"1115"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - DOM";"010607330";"12/03/2024 16:12";"";"";"3.7";"3.6";"3.6";"3.8";"3.6";"3.9";"3.7";"3.6";"3.7";"";"";"3.7";"3.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Gers";"010606277";"12/03/2024 16:12";"";"";"149";"153";"149";"127";"129";"140";"140";"134";"131";"";"";"118";"114"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Haute-Vienne";"010607020";"12/03/2024 16:12";"";"";"1.3";"1.3";"1.4";"1.4";"1.4";"1.3";"1.3";"1.3";"1.3";"";"";"1.3";"1.3"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Normandie";"010607088";"12/03/2024 16:12";"";"";"1.7";"1.8";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"";"";"1.7";"1.7"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Alpes-Maritimes";"010606958";"12/03/2024 16:12";"";"";"2.5";"2.5";"2.5";"2.4";"2.4";"2.3";"2.4";"2.4";"2.4";"";"";"2.5";"2.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Indre";"010607044";"12/03/2024 16:12";"";"";"1.4";"1.5";"1.5";"1.5";"1.4";"1.4";"1.4";"1.5";"1.5";"";"";"1.5";"1.5"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Creuse";"010606268";"12/03/2024 16:12";"";"";"105";"99";"93";"93";"89";"91";"90";"86";"86";"";"";"90";"98"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Pyrénées-Atlantiques";"010606997";"12/03/2024 16:12";"";"";"2.1";"2.0";"2.0";"1.9";"1.9";"1.8";"1.8";"1.8";"1.8";"";"";"1.7";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Ille-et-Vilaine";"010606820";"12/03/2024 16:12";"";"";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"";"";"1.6";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - France entière";"010606244";"12/03/2024 16:12";"";"";"112065";"111824";"112547";"112696";"113963";"114345";"119692";"121638";"123427";"59815";"66520";"115314";"120732"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Lozère";"010606293";"12/03/2024 16:12";"";"";"258";"265";"250";"247";"272";"255";"235";"238";"244";"";"";"276";"299"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Ariège";"010606784";"12/03/2024 16:12";"";"";"1.7";"1.6";"1.5";"1.6";"1.8";"1.8";"1.8";"1.7";"1.7";"";"";"1.5";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Alpes-de-Haute-Provence";"010606884";"12/03/2024 16:12";"";"";"2.0";"2.0";"1.8";"1.8";"1.9";"2.0";"1.9";"1.9";"1.8";"";"";"1.7";"1.9"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Finistère";"010607234";"12/03/2024 16:12";"";"";"222";"216";"226";"255";"267";"265";"296";"305";"300";"";"";"258";"278"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Ille-et-Vilaine";"010607043";"12/03/2024 16:12";"";"";"1.5";"1.5";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"";"";"1.6";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Réunion";"010607301";"12/03/2024 16:12";"";"";"2";"2";"2";"2";"2";"3";"3";"3";"3";"";"";"2";"2"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Aveyron";"010607216";"12/03/2024 16:12";"";"";"79";"83";"87";"84";"80";"77";"70";"68";"71";"";"";"59";"58"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Seine-Saint-Denis";"010606950";"12/03/2024 16:12";"";"";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"";"";"1.9";"1.7"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Alpes-de-Haute-Provence";"010606956";"12/03/2024 16:12";"";"";"1.9";"2.0";"1.9";"1.8";"1.7";"1.8";"1.8";"1.8";"1.8";"";"";"1.7";"1.7"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Calvados";"010607218";"12/03/2024 16:12";"";"";"809";"796";"878";"959";"901";"852";"918";"1008";"1065";"";"";"875";"943"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Yonne";"010606874";"12/03/2024 16:12";"";"";"1.3";"1.3";"1.3";"1.3";"1.3";"1.4";"1.4";"1.3";"1.3";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Morbihan";"010606301";"12/03/2024 16:12";"";"";"965";"956";"966";"974";"1005";"1024";"1034";"1054";"1069";"";"";"1048";"1040"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Gers";"010607040";"12/03/2024 16:12";"";"";"1.7";"1.6";"1.6";"1.7";"1.6";"1.6";"1.6";"1.7";"1.7";"";"";"1.6";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Seine-Saint-Denis";"010606338";"12/03/2024 16:12";"";"";"2599";"2542";"2455";"2469";"2465";"2452";"2853";"2935";"2846";"";"";"2125";"2505"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Maine-et-Loire";"010606982";"12/03/2024 16:12";"";"";"1.6";"1.7";"1.7";"1.6";"1.6";"1.6";"1.7";"1.7";"1.7";"";"";"1.7";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Moselle";"010606990";"12/03/2024 16:12";"";"";"1.7";"1.6";"1.4";"1.4";"1.3";"1.3";"1.3";"1.3";"1.4";"";"";"1.5";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Eure-et-Loir";"010606905";"12/03/2024 16:12";"";"";"1.3";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Savoie";"010606318";"12/03/2024 16:12";"";"";"1319";"1316";"1412";"1380";"1403";"1413";"1376";"1400";"1422";"";"";"1558";"1618"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Bouches-du-Rhône";"010606788";"12/03/2024 16:12";"";"";"1.8";"1.8";"1.8";"1.8";"1.8";"1.7";"1.8";"1.8";"1.7";"";"";"1.8";"1.8"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Haute-Garonne";"010606276";"12/03/2024 16:12";"";"";"1652";"1750";"1748";"1718";"1747";"1870";"1907";"1897";"1956";"";"";"1664";"1772"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Eure-et-Loir";"010606273";"12/03/2024 16:12";"";"";"454";"448";"447";"454";"461";"453";"490";"507";"513";"";"";"495";"508"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Eure";"010606272";"12/03/2024 16:12";"";"";"399";"387";"405";"399";"386";"394";"398";"409";"414";"";"";"366";"370"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Vendée";"010606330";"12/03/2024 16:12";"";"";"658";"691";"671";"686";"739";"813";"822";"881";"894";"";"";"924";"966"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Côte-d'Or";"010606266";"12/03/2024 16:12";"";"";"1803";"1722";"1731";"1774";"1869";"1810";"1867";"1913";"1909";"";"";"1852";"1892"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Vaucluse";"010606869";"12/03/2024 16:12";"";"";"1.7";"1.7";"1.6";"1.7";"1.7";"1.7";"1.7";"1.7";"1.7";"";"";"1.7";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Corse-du-Sud";"010606972";"12/03/2024 16:12";"";"";"2.3";"2.3";"2.4";"2.3";"2.4";"2.4";"2.4";"2.3";"2.3";"";"";"2.3";"2.1"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Ain";"010606776";"12/03/2024 16:12";"";"";"1.6";"1.5";"1.5";"1.5";"1.5";"1.6";"1.6";"1.6";"1.6";"";"";"1.6";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Hautes-Alpes";"010606885";"12/03/2024 16:12";"";"";"1.9";"1.9";"1.9";"1.9";"1.9";"1.9";"1.9";"2.0";"2.0";"";"";"2.0";"1.9"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Allier";"010606778";"12/03/2024 16:12";"";"";"1.6";"1.6";"1.5";"1.6";"1.6";"1.6";"1.6";"1.5";"1.5";"";"";"1.5";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Bourgogne-Franche-Comté";"010606231";"12/03/2024 16:12";"";"";"5016";"4852";"4824";"4926";"5153";"5090";"5218";"5249";"5227";"2890";"3041";"4886";"4985"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Gard";"010606815";"12/03/2024 16:12";"";"";"2";"2";"2";"2";"2";"2";"2";"2";"2";"";"";"2";"2"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Loir-et-Cher";"010606826";"12/03/2024 16:12";"";"";"1.5";"1.4";"1.4";"1.4";"1.4";"1.4";"1.4";"1.5";"1.5";"";"";"1.5";"1.5"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Loire";"010607247";"12/03/2024 16:12";"";"";"59";"71";"52";"61";"57";"59";"52";"62";"65";"";"";"63";"71"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Moselle";"010606842";"12/03/2024 16:12";"";"";"1.6";"1.6";"1.5";"1.5";"1.5";"1.5";"1.4";"1.4";"1.4";"";"";"1.6";"1.5"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Grand Est";"010606613";"12/03/2024 16:12";"";"";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"1.6";"";"";"1.6";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Résidents - Ardèche";"010606887";"12/03/2024 16:12";"";"";"1.7";"1.7";"1.8";"1.8";"1.7";"1.8";"1.7";"1.7";"1.7";"";"";"1.7";"1.6"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Pas-de-Calais";"010606995";"12/03/2024 16:12";"";"";"1.5";"1.5";"1.5";"1.5";"1.5";"1.5";"1.5";"1.5";"1.5";"";"";"1.5";"1.5"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées - Non-résidents - Dans l'hôtellerie - Hérault";"010607239";"12/03/2024 16:12";"";"";"510";"431";"474";"536";"555";"602";"597";"603";"598";"";"";"539";"550"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Durée moyenne des séjours dans l'hôtellerie - Non-résidents - Doubs";"010606978";"12/03/2024 16:12";"";"";"1.5";"1.4";"1.4";"1.3";"1.4";"1.4";"1.4";"1.4";"1.3";"";"";"1.4";"1.4"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Part des nuitées effectuées par une clientèle non-résidente dans l'hôtellerie - Auvergne-Rhône-Alpes";"010606592";"12/03/2024 16:12";"";"";"20.9";"22.0";"22.6";"22.3";"24.2";"24.3";"24.4";"25.1";"24.7";"";"14.3";"22.3";"26.3"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"A";"A";"A"
"Part des nuitées effectuées par une clientèle non-résidente dans l'hôtellerie - Occitanie";"010606591";"12/03/2024 16:12";"";"";"24.3";"23.4";"23.1";"23.6";"24.2";"24.6";"25.5";"25.9";"25.3";"";"12.5";"19.7";"23.2"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"A";"A";"A"
"Part des nuitées effectuées par une clientèle non-résidente dans l'hôtellerie - Corse";"010606586";"12/03/2024 16:12";"";"";"25.7";"25.6";"26.7";"27.7";"26.5";"28.5";"25.5";"27.3";"26.2";"";"13.8";"22.9";"27.0"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"A";"A";"A"
"Part des nuitées effectuées par une clientèle non-résidente dans l'hôtellerie - Provence-Alpes-Côte d'Azur";"010606585";"12/03/2024 16:12";"";"";"36";"38";"38";"38";"40";"38";"38";"39";"39";"";"24";"33";"36"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Ain";"010754921";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"594";"374";"512";"617";"665"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Aisne";"010754922";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"539";"86";"121";"405";"456"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Allier";"010754923";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"328";"227";"287";"345";"361"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Alpes-de-Haute-Provence";"010754924";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"1820";"1415";"1977";"2001";"1951"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Hautes-Alpes";"010754925";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"1253";"1092";"1357";"1244";"1267"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Alpes-Maritimes";"010754926";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"803";"429";"628";"763";"802"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Ardèche";"010754927";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"4076";"2910";"3699";"4274";"4403"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Ardennes";"010754928";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"182";"114";"139";"211";"219"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
"Nuitées dans l'hôtellerie de plein air - Total - Ariège";"010754929";"21/03/2024 11:40";"";"";"";"";"";"";"";"";"";"";"480";"352";"438";"522";"519"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A"
