"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nuitées - Non-résidents - Dans l'hôtellerie - Eure-et-Loir - Série arrêtée";"001786310";"07/03/2019 12:01";"";"113";"122";"123";"129";"136";"135";"128";"143";"169";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Finistère - Série arrêtée";"001786311";"07/03/2019 12:01";"";"247";"227";"226";"242";"297";"288";"285";"311";"322";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Corse-du-Sud - Série arrêtée";"001786301";"07/03/2019 12:01";"";"368";"332";"377";"387";"398";"379";"407";"407";"419";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Corse - Série arrêtée";"001786302";"07/03/2019 12:01";"";"456";"444";"415";"418";"405";"419";"458";"412";"482";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Gard - Série arrêtée";"001786312";"07/03/2019 12:01";"";"314";"293";"337";"345";"338";"355";"338";"364";"350";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Garonne - Série arrêtée";"001786313";"07/03/2019 12:01";"";"622";"608";"648";"733";"704";"693";"733";"815";"824";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Gers - Série arrêtée";"001786314";"07/03/2019 12:01";"";"24";"22";"20";"25";"25";"24";"28";"33";"31";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Gironde - Série arrêtée";"001786315";"07/03/2019 12:01";"";"564";"614";"645";"675";"722";"862";"930";"985";"1113";"";"";"";"";""
